#{"t_start": 1784631092.841802, "env_id": "None"}
r,l,t,best_igd,last_igd
58.828573,159,20438.625242,0.06378644094544977,0.06466100957912006
37.067197,300,20778.880093,0.0692104635860825,0.06942603390488239
79.322949,132,20933.006738,0.047556216152761885,0.048052695771706296
36.860799,204,21171.072672,0.07239813332300322,0.07501126921315529
80.243615,202,21434.413396,0.04657466846560467,0.04676899750063233
58.787239,300,21782.366224,0.06158930350455211,0.06158930350455211
34.563942,208,22004.970102,0.06919194568385531,0.07081737146741006
80.565024,139,22165.662115,0.04703466364028307,0.047595555771179014
54.233093,92,22273.210266,0.06964275154343781,0.07044837083752933
57.42872,175,22452.827875,0.06523461026302219,0.06628132203532117
79.196856,175,22667.975102,0.04580754692635076,0.04585251143446521
32.36264,300,22996.216409,0.06893854757775715,0.07130549297222838
34.029389,117,23127.275214,0.07433933450951581,0.07636160889037126
57.956546,181,23324.936774,0.06395161065260156,0.06489746285086531
78.463894,153,23489.584262,0.04698058982125785,0.047296570812835344
38.500146,141,23679.019651,0.0738416697019345,0.07448594217476874
34.374996,87,23771.364995,0.10847331306789816,0.11031043156865457
78.760075,184,23980.31906,0.04633754003288719,0.04698786942362051
80.54071,175,24161.719158,0.046776201563134376,0.04754154460587053
55.02442,254,24451.434675,0.07034448065329625,0.07118234751472811
35.671156,143,24622.002943,0.07519104464501263,0.07558367221400777
33.357829,85,24718.631798,0.0737401173135624,0.07563588218574306
80.3232,135,24892.570716,0.047175833478031046,0.04771240158879915
60.411088,248,25157.139306,0.06137209631558083,0.06301991197029215
57.936623,300,25498.921109,0.06151743911475611,0.06219369102395353
80.868884,152,25665.048843,0.04712241834968543,0.047480130716782636
39.416892,123,25802.438214,0.0724902749735689,0.0744890955185467
59.40468,169,26015.685977,0.06371376132968784,0.06733621676450131
80.837825,132,26169.028437,0.04637796368852108,0.04729912133400347
39.492054,167,26359.410537,0.06999318886131262,0.0706129117533022
80.340734,169,26541.543013,0.047183703572536526,0.04771727571236012
36.528088,83,26633.258898,0.07813722970245646,0.0782922524479366
55.997066,165,26836.058532,0.06233049498525481,0.06361908324159235
35.905219,123,26968.716558,0.07163885766201437,0.07415103869886648
56.029511,167,27148.642299,0.06521112076746119,0.06548506959962618
80.409018,178,27342.924884,0.04643347639542955,0.04718984837143244
58.405136,224,27567.072905,0.060282530931301696,0.06056712501134363
34.201606,238,27847.17183,0.0716957977499295,0.0718747935757907
82.126059,127,27992.835973,0.04808173777885861,0.04847052291297623
78.117913,106,28100.853294,0.04836920875734126,0.048417748361202606
58.11396,263,28441.076163,0.06045431741803203,0.06235963200336044
38.947174,122,28576.808805,0.07180388450719223,0.07330573476597646
60.687074,275,28884.687949,0.060086100968423574,0.06036991957895914
79.582309,108,29011.652196,0.04796417707812532,0.04833666624395133
36.808623,223,29247.312861,0.07082164430908283,0.07184622279358509
39.300576,103,29371.102033,0.07126336020081571,0.07251851935274142
82.063662,159,29559.679622,0.04691590495553925,0.0473387509203537
55.910125,231,29818.569792,0.06321427090383513,0.06476690549262705
39.622048,163,30010.063915,0.07283741887553205,0.0738746984994117
81.201281,114,30143.639248,0.04662088766198636,0.04717915101778741
35.435177,90,30259.666337,0.10732840722896454,0.11245477589177921
59.122609,275,30577.164139,0.06514498969080772,0.06577928389139769
